,y_test,prediction
5167,683.1108,1905.6875
839,2857.6136,1562.6875
39,2180.495,2873.4375
7852,1342.2528,1621.6875
4881,2792.3652,2461.8125
6258,2512.7292,2672.0625
7427,884.1824,1599.6875
3603,330.2368,833.1875
7648,1070.6064,1428.4375
462,1787.673,1902.0625
4065,1845.5976,2767.6875
982,384.8324,1221.6875
6296,247.6776,211.8125
641,6611.394,3141.5625
454,2683.174,1440.6875
20,3775.086,3955.1875
8401,1395.5168,1512.0625
8283,1845.5976,1550.3125
3639,390.1588,1379.1875
244,3225.1352,3598.1875
2984,1257.0304,2494.9375
6154,3874.956,3106.1875
3978,882.8508,879.0625
4609,1049.9666,554.8125
6039,1757.712,2374.6875
882,300.9416,704.1875
3443,1150.5024,867.1875
7632,41.9454,-1126.3125
4967,3146.5708,2986.4375
3634,1601.249,2091.6875
4060,5609.365,4917.4375
651,229.701,-990.9375
1852,874.8612,532.3125
162,3315.684,3189.3125
7043,992.7078,2403.1875
4240,1518.024,3014.0625
6163,1957.452,2267.8125
5863,2387.5588,3018.4375
304,7696.648,3399.8125
4853,2852.2872,3263.8125
7311,1494.0552,1513.0625
7398,1494.0552,1435.3125
6866,647.8234,1466.1875
6943,325.5762,1816.6875
1085,5173.266,4226.0625
7496,2868.2664,3798.9375
5165,2954.1546,2750.3125
2457,5099.3622,3414.0625
8008,2743.7618,3443.4375
2813,113.186,184.5625
2214,2936.178,3076.3125
1168,2519.3872,1859.1875
8070,868.869,1736.3125
6148,2740.4328,3069.3125
8253,2896.8958,2411.8125
6913,325.5762,1821.5625
6340,3123.9336,3087.8125
8003,1342.2528,3046.6875
1261,2681.8424,2310.0625
296,583.2408,752.3125
229,3101.2964,4289.4375
2241,856.8846,1087.0625
4407,587.2356,1695.9375
221,1416.8224,1450.5625
6982,5073.396,4030.0625
6688,5888.3352,4527.6875
1411,928.791,1084.4375
2549,6381.693,2301.0625
4123,4082.6856,2368.8125
5435,2127.231,2469.4375
2076,2516.724,2112.1875
7886,1857.582,1667.5625
3840,1559.9694,2396.4375
4068,1761.7068,1589.1875
5972,549.285,1089.1875
7176,2037.348,2676.9375
1091,2503.408,2552.0625
7138,652.484,1087.3125
8141,452.744,735.3125
2250,458.0704,1751.5625
4977,2446.815,2525.5625
5518,2463.46,1305.9375
6481,2716.464,2242.6875
6605,1125.202,2411.0625
4328,5690.5926,2766.4375
8153,1719.7614,2985.3125
6289,2247.075,3125.9375
2676,4134.618,3100.5625
4582,3495.45,3848.5625
5399,2802.3522,1924.3125
8412,2203.798,3487.5625
5599,429.441,372.4375
4076,2450.144,2675.6875
6436,3506.7686,2272.8125
3636,6338.416,2917.3125
841,178.4344,-417.0625
3528,3872.9586,2903.6875
1547,829.5868,567.6875
6724,1454.1072,1981.0625
6853,3098.6332,1983.1875
8046,392.822,3139.6875
1029,1198.44,998.4375
7766,1707.777,1919.4375
6670,264.9884,2276.6875
8148,3142.576,3085.3125
7355,80.5618,-552.9375
4900,3439.5228,2510.6875
6428,1808.9786,2546.3125
5498,309.597,1422.4375
7533,2572.6512,2970.9375
7994,3593.3226,2679.0625
3910,1621.8888,3440.1875
2568,659.142,531.1875
2644,884.1824,932.4375
733,1807.647,1940.8125
4105,5522.811,5518.5625
5694,1435.4648,2105.9375
6512,2841.6344,1906.4375
6590,3691.1952,2410.4375
5558,6624.71,4305.8125
1750,5956.9126,4119.0625
836,145.8102,-1057.3125
2528,6503.5344,3817.5625
4831,858.882,2274.8125
5006,1701.7848,2237.0625
7489,614.5334,814.5625
2866,250.3408,237.4375
7154,3835.008,3430.1875
683,1488.063,1593.8125
499,1298.31,2045.0625
388,717.7324,2396.4375
6101,2999.429,2809.8125
3311,1346.2476,3530.4375
6380,3755.112,3093.4375
8404,153.134,-573.3125
119,1141.847,3281.9375
158,1701.7848,2164.0625
6968,755.0172,1413.0625
3986,4250.4672,1720.3125
5962,1641.197,1656.4375
6693,1957.452,2211.3125
1044,6048.793,4181.9375
3964,2077.296,1905.5625
6059,3704.5112,3650.8125
4301,3295.71,1632.3125
7733,467.3916,530.8125
7868,2542.0244,1752.6875
6837,4165.2448,4050.3125
3975,892.8378,1587.8125
6099,567.2616,431.8125
7276,1537.998,1673.3125
1422,852.224,1484.6875
4561,2183.824,1755.8125
6183,3509.4318,2576.4375
1644,153.7998,585.8125
2480,782.9808,1282.6875
2877,3165.879,3340.1875
2491,109.1912,-88.1875
1831,1733.7432,2341.1875
6464,2195.8084,1970.6875
6141,4460.86,2796.0625
7016,8062.838,5019.0625
1240,3415.554,3284.3125
2542,1211.756,1485.3125
4225,233.03,1839.5625
6372,2846.295,2484.6875
4220,1571.288,2621.6875
4418,2530.7058,1919.4375
7542,785.644,1275.0625
7198,3981.484,2480.3125
2041,633.8416,769.3125
2223,188.4214,1150.0625
3852,1073.2696,1221.6875
1142,3747.1224,4290.1875
5139,988.0472,1974.9375
7833,4482.1656,3449.3125
6673,1006.6896,4129.6875
532,95.8752,-1072.6875
3222,852.224,1316.5625
3581,1006.6896,1738.3125
6043,677.1186,3265.9375
7004,870.8664,2371.5625
4013,4857.6768,3882.0625
422,3415.554,3724.8125
7899,377.5086,611.1875
1373,5426.27,3338.3125
22,1587.2672,3061.1875
495,2336.958,2924.5625
4781,2784.3756,2595.3125
4270,2360.9268,2109.5625
7680,419.454,1369.5625
1718,563.9326,928.5625
1683,990.7104,2655.8125
6415,126.502,-818.9375
6079,341.5554,647.9375
3744,4334.358,2397.6875
2388,1004.0264,3589.3125
6024,171.1106,827.6875
6619,2316.984,2789.8125
8487,4111.315,3927.4375
144,905.488,906.1875
3972,1895.5326,2270.6875
574,37.9506,-992.8125
4018,3392.9168,2173.6875
6526,2145.2076,5262.9375
4873,4302.3996,5252.5625
5968,4996.829,4111.4375
3706,4452.8704,5370.4375
3648,3257.7594,2506.1875
3239,3693.8584,3092.0625
1066,2633.9048,1915.0625
167,1743.0644,1737.3125
5318,540.6296,593.3125
1869,1518.024,1627.9375
1666,512.666,558.0625
8265,4026.7584,2583.3125
526,283.6308,2072.1875
2931,196.411,1208.4375
1112,1544.656,2682.0625
8004,2446.1492,3623.0625
4872,2940.1728,2954.8125
6711,3563.3616,2355.8125
2632,1629.8784,1723.4375
987,5061.4116,3703.0625
6561,1030.6584,2787.4375
1122,1125.202,1552.4375
989,5518.1504,4168.0625
776,857.5504,1559.6875
274,2082.6224,1488.9375
7376,2399.5432,2285.1875
8368,1800.3232,1855.0625
33,2174.5028,1567.5625
5379,926.7936,605.3125
5253,5645.984,2512.8125
1478,4211.185,4168.8125
6376,2651.2156,1925.6875
2328,1120.5414,1144.5625
8327,3012.0792,2698.6875
8101,2189.1504,2880.4375
8192,2908.2144,1868.8125
3664,1318.284,1481.9375
3849,1525.3478,893.8125
2270,695.0952,1853.1875
6757,2807.0128,2648.1875
1656,3455.502,1928.3125
4364,1411.496,2876.8125
152,2768.3964,2825.5625
4902,2290.352,2205.8125
8193,2656.542,2092.0625
7588,1845.5976,1616.6875
7484,671.1264,3650.9375
487,75.2354,-649.6875
5476,193.7478,-801.5625
2420,998.7,3916.0625
2894,1384.1982,3186.6875
3583,5660.6316,3158.5625
1070,952.7598,794.8125
134,952.094,2675.3125
7575,641.8312,3916.4375
1454,107.8596,-828.6875
5871,129.831,368.1875
5864,1201.769,1105.8125
4512,383.5008,918.1875
3053,34.6216,-1122.1875
7286,1102.5648,997.3125
5397,61.9194,-761.1875
6970,1416.8224,1083.6875
2560,1609.9044,2219.5625
2026,3425.541,3665.1875
6578,1418.154,1515.8125
3069,1736.4064,3297.9375
318,3877.6192,2301.4375
4189,3238.4512,2825.8125
5306,1054.6272,1454.0625
3391,2376.906,1895.4375
1121,593.2278,1090.5625
6576,1034.6532,773.9375
2899,2709.1402,3239.9375
7082,2801.6864,2834.0625
5268,1323.6104,3302.3125
4323,978.726,701.3125
6096,1747.725,1926.9375
1643,1198.44,2377.6875
6614,406.138,755.5625
2134,490.0288,1947.4375
1382,639.168,673.9375
5061,402.809,1218.6875
6124,1062.6168,1536.3125
5455,982.7208,2004.4375
4425,998.7,1648.4375
4355,4327.7,3433.0625
509,95.8752,-438.9375
3671,2036.6822,1948.6875
6900,4314.384,3132.9375
3286,8138.7392,5510.6875
7951,4218.5088,4140.1875
7245,517.3266,977.8125
2453,1325.6078,1849.0625
6906,6454.931,4330.6875
971,615.1992,1000.6875
313,1677.816,2484.6875
7871,1677.816,2222.3125
3202,539.298,551.8125
5759,784.9782,2243.0625
5583,3520.0846,3333.6875
4858,1607.2412,1408.3125
7248,1289.6546,1663.5625
7802,1444.1202,2567.8125
8220,2621.9204,2047.9375
558,2876.256,3102.5625
4904,4673.916,2512.1875
276,7452.9652,4032.9375
1540,716.4008,1038.0625
7511,3111.9492,2659.8125
3474,755.0172,19.4375
4139,394.1536,550.0625
1984,4086.0146,3757.9375
2285,3202.498,2093.6875
2615,7201.2928,5010.6875
3891,1358.232,1510.1875
7784,2681.8424,2179.3125
6444,3844.995,3802.4375
6308,691.1004,1816.3125
1942,3105.957,3137.9375
2569,4402.2696,2464.6875
1977,2713.135,3189.9375
1220,2884.2456,2299.0625
5601,3113.2808,3578.3125
8499,2976.126,1738.0625
3182,1142.5128,1430.6875
2381,4374.306,3863.9375
2585,4225.1668,3137.0625
6390,4434.228,3495.9375
4887,1749.7224,1853.0625
8066,4171.9028,2651.1875
286,296.9468,544.1875
994,2982.784,2639.0625
2586,139.818,-1176.8125
4753,3793.7284,2726.0625
1952,554.6114,1389.5625
7984,1245.046,1691.9375
7356,974.0654,1467.6875
5904,517.9924,4022.4375
72,4604.6728,2530.4375
519,5344.3766,5046.6875
5081,1342.2528,1587.9375
4978,1784.344,2825.5625
7150,4407.596,3439.3125
548,2094.6068,1737.8125
2888,2167.179,1737.9375
7428,1845.5976,1656.6875
1892,1583.9382,2053.6875
8007,262.3252,2136.4375
6702,1179.1318,845.6875
5356,1158.492,3127.3125
1955,1514.695,1573.4375
5362,1006.6896,1753.3125
7667,2253.0672,2089.4375
2190,934.7832,519.9375
5564,751.0224,1049.6875
3711,1619.2256,1648.0625
1675,2007.387,2348.9375
6257,1342.2528,2186.9375
842,1470.0864,1032.4375
247,974.7312,2665.5625
8025,207.7296,-1053.5625
8516,858.882,648.9375
4110,2621.9204,1650.1875
3573,1518.024,2389.3125
2217,2428.8384,2309.5625
7779,1258.362,1402.8125
4339,1114.5492,1943.5625
5553,2456.802,3868.1875
6285,2902.888,2303.4375
5335,339.558,685.1875
3993,529.9768,2238.9375
3485,666.4658,857.0625
3996,110.5228,-73.5625
2565,3844.995,3108.9375
4999,2324.9736,3821.5625
6934,2616.594,4257.3125
4770,253.004,128.6875
3083,7534.1928,2953.0625
725,918.804,2158.8125
2682,3531.4032,2341.1875
7922,801.6232,2463.6875
1741,614.5334,844.0625
6721,1573.9512,2152.5625
6897,3261.7542,2361.3125
779,597.2226,818.4375
50,3134.5864,2415.5625
4696,2534.0348,3595.4375
7639,123.173,194.1875
7978,3350.3056,2948.0625
406,5770.4886,3409.1875
4234,3379.6008,3023.1875
5514,3880.2824,2074.5625
4034,107.8596,148.3125
6652,715.0692,1938.9375
2655,2066.6432,2090.4375
2141,5294.4416,4490.8125
6291,441.4254,1980.0625
6519,2504.7396,2167.0625
2617,1522.0188,2309.6875
6784,610.5386,1410.1875
3465,1518.024,2875.3125
156,262.3252,1826.6875
8502,3020.0688,3387.8125
2795,308.9312,634.1875
6627,343.5528,885.4375
6518,2259.0594,3913.6875
578,4655.2736,3877.6875
4302,3338.987,3098.9375
8096,1163.8184,1082.5625
2948,3868.9638,3086.6875
4004,4327.7,4221.6875
2872,796.9626,783.5625
2653,4195.8716,2931.1875
8111,363.5268,1298.8125
1308,343.5528,1950.8125
317,452.744,1820.4375
5587,1231.73,701.4375
5817,596.5568,515.4375
7573,3435.528,2325.0625
2958,3350.3056,2977.9375
1812,1597.92,1652.5625
7785,3146.5708,2794.0625
2531,2087.9488,2349.9375
4627,4727.18,3131.4375
7289,1651.184,1749.1875
4957,298.2784,-710.9375
6418,185.0924,-409.8125
188,2336.958,2901.1875
2004,4777.7808,3208.3125
4235,494.0236,606.4375
5129,3427.5384,2525.4375
217,260.9936,2253.6875
2405,2109.2544,1809.3125
5168,282.2992,762.9375
3753,3998.7948,3479.1875
1978,447.4176,937.5625
4226,476.047,1531.4375
5992,3243.7776,3862.5625
6005,1693.7952,1792.6875
2767,185.7582,1886.1875
2760,2588.6304,2312.9375
4160,1938.8096,2328.4375
4338,5704.5744,4649.5625
1334,4098.6648,1786.3125
1597,1893.5352,2832.4375
7482,3467.4864,1498.6875
8335,708.4112,867.3125
1833,1985.4156,2311.5625
7970,2157.192,2829.9375
1514,3368.948,3760.8125
2887,6359.7216,3876.0625
2423,1225.072,1039.9375
6035,88.5514,-440.4375
7301,3728.48,2914.6875
1063,568.5932,436.1875
4912,4853.682,2925.5625
1172,2251.7356,1928.1875
8105,1155.8288,1432.0625
2929,4604.6728,3793.3125
7323,1188.453,3709.5625
1972,1120.5414,1140.6875
1768,1398.18,1601.8125
122,186.424,-325.8125
4488,1406.1696,1378.6875
1529,3749.7856,2615.8125
1621,3755.112,3036.0625
7278,326.242,716.9375
4942,2221.1088,2857.6875
1928,1897.53,1981.8125
2890,2846.295,2739.4375
1087,1522.0188,3952.9375
5036,4094.67,2545.6875
8437,2596.62,1649.4375
6129,1693.7952,2194.1875
294,5499.508,4520.3125
7132,2449.4782,3167.0625
6197,2526.711,3272.8125
7870,1480.0734,2680.5625
5439,1581.9408,1081.1875
8438,3034.0506,2230.5625
1642,211.7244,-49.8125
1234,872.198,1289.9375
1185,822.263,639.4375
3046,295.6152,452.4375
384,3523.4136,2147.1875
3756,5552.1062,2556.0625
7476,1494.0552,1410.6875
2663,102.5332,-165.6875
4982,3367.6164,2958.9375
4987,455.4072,495.5625
684,5159.2842,3053.6875
8022,5812.434,3023.5625
4085,2120.573,2640.8125
7110,2644.5576,3528.5625
1533,1943.4702,1455.6875
451,1816.3024,1397.0625
4237,1404.1722,1232.1875
2640,1288.9888,2397.4375
1376,1151.1682,2432.0625
1914,515.3292,-374.8125
5866,6636.6944,3693.9375
2980,3101.2964,2849.5625
1490,486.034,1975.1875
4629,447.4176,2048.9375
5777,335.5632,860.3125
4030,1318.284,1826.5625
1811,468.7232,859.4375
2038,1470.0864,2967.0625
6159,697.0926,1835.6875
5313,750.3566,1726.1875
6134,8217.3036,5466.4375
1536,2320.9788,2558.3125
2604,3956.8494,3028.0625
5598,1882.2166,2692.3125
396,3707.1744,3734.6875
8376,3717.8272,3631.9375
6157,583.2408,1488.3125
14,1977.426,3107.3125
5546,1980.755,3288.1875
1900,4566.0564,3908.4375
2475,361.5294,77.3125
7343,8209.314,4324.1875
6939,886.8456,1194.3125
7658,826.2578,2224.8125
4092,647.1576,2326.6875
4857,722.393,1391.6875
5603,169.779,898.4375
4178,653.1498,3468.5625
7160,1318.284,1420.4375
8407,575.2512,2279.1875
6752,882.8508,2415.9375
4716,3182.524,2618.0625
90,369.519,169.8125
5421,2149.2024,2773.4375
5326,3950.1914,3711.0625
5632,2852.2872,2460.1875
5354,272.978,-1043.1875
8167,1857.582,2275.5625
3126,2090.612,3150.6875
6020,1218.414,854.8125
3050,3761.77,2402.4375
3490,1687.1372,3810.9375
6669,1670.4922,1992.3125
4948,1981.4208,3889.5625
6047,1488.063,1574.1875
15,1547.3192,917.6875
1315,1413.4934,1828.8125
8484,2324.9736,1934.5625
2693,3408.896,4198.4375
5183,2458.1336,2750.3125
6413,447.4176,1112.4375
5296,3159.8868,3772.8125
5248,3709.8376,4120.1875
6271,3463.4916,3123.1875
1357,2428.8384,1536.9375
2429,2797.6916,4079.4375
7349,485.3682,997.5625
2364,4793.76,2636.6875
4502,158.4604,1391.5625
4542,3835.008,1831.4375
3493,535.969,1384.5625
5095,331.5684,-10.9375
5178,1539.9954,2350.5625
794,505.3422,905.8125
6618,1677.816,2897.0625
1633,3861.64,2896.6875
2804,2316.984,2993.5625
3413,1717.764,2287.9375
8184,4731.1748,3973.8125
5451,1134.5232,1551.6875
8271,2548.0166,2451.6875
2613,211.7244,-222.9375
4891,6608.065,4138.1875
2351,1761.7068,2083.5625
7313,3068.0064,2373.9375
1722,1197.7742,2406.6875
6046,848.895,1047.1875
2178,1607.2412,1482.1875
8430,4042.7376,2827.3125
7010,5591.3884,2322.9375
5900,3994.8,2598.3125
6070,1334.2632,1843.4375
2812,617.8624,1130.3125
1865,2328.9684,3093.3125
6679,4979.5182,4421.6875
2933,3119.9388,3693.8125
1651,109.857,-1211.3125
356,3163.8816,2270.9375
7330,2285.0256,1694.4375
4523,3374.2744,3357.1875
3025,284.9624,350.1875
6317,4466.1864,2721.8125
2412,4845.0266,3953.0625
4216,1747.0592,3458.5625
3243,777.6544,861.3125
5134,1470.0864,1131.8125
7055,4103.9912,2835.1875
6473,353.5398,697.3125
1705,6524.84,3781.9375
6727,1211.756,1916.6875
4193,2716.464,3115.6875
6951,1470.0864,807.3125
6354,307.5996,637.5625
5740,5321.0736,3128.6875
7442,343.5528,687.1875
5927,1488.063,1731.3125
5366,111.1886,-112.6875
3160,2175.1686,2783.6875
6551,2609.936,2990.6875
42,2527.3768,3082.0625
4616,3323.0078,2034.8125
3374,3739.1328,2421.6875
2162,1312.9576,864.1875
2396,3073.9986,2620.0625
3042,2137.218,3344.0625
2892,1576.6144,1770.9375
5057,114.5176,-944.4375
8077,1696.4584,2109.6875
3609,209.727,772.0625
5415,3629.9416,1781.1875
369,1230.3984,1874.0625
5079,669.129,908.1875
5478,3124.5994,2500.0625
2260,2070.638,3271.3125
6109,1655.1788,1284.5625
3000,2145.2076,3757.4375
6292,1457.4362,2170.9375
844,6515.5188,3957.5625
7171,3728.48,4397.0625
6759,1366.2216,1681.8125
6699,753.6856,1137.4375
2519,982.055,683.3125
6502,568.5932,754.9375
8388,2155.1946,2726.0625
5673,3243.7776,3645.0625
1788,145.1444,461.0625
7584,4567.388,3920.3125
3093,5681.2714,3849.3125
4498,5229.1932,3896.5625
4059,1097.9042,1083.8125
3433,427.4436,2130.6875
633,437.4306,501.9375
4734,2302.3364,4203.8125
3488,420.7856,-182.0625
629,1640.5312,1614.5625
125,868.869,1498.6875
5969,6897.688,2791.3125
719,145.8102,1034.1875
200,745.696,1844.0625
2755,3275.736,1788.6875
8308,3193.8426,3503.8125
6162,645.826,138.8125
5193,5394.9774,3755.1875
8319,4210.5192,3813.8125
8048,1098.57,468.1875
1595,1288.9888,1496.1875
1997,306.268,1222.9375
4017,539.298,1087.6875
521,314.2576,594.0625
2551,1120.5414,1763.5625
1654,5522.811,4075.0625
8087,6199.9296,4040.4375
5554,1347.5792,2085.1875
7618,974.7312,696.3125
7628,2163.85,3484.6875
5723,458.0704,959.1875
3564,1667.1632,3233.8125
1437,6018.1662,4033.6875
4823,2376.906,2774.0625
1733,814.9392,1656.0625
8506,3944.865,3691.0625
3790,2109.2544,2816.0625
7581,167.7816,-482.4375
1284,3014.7424,2964.8125
5758,2519.3872,1944.5625
1259,169.1132,853.6875
6651,1973.4312,1734.0625
737,1470.0864,2011.3125
7467,850.8924,1827.3125
2590,842.237,310.1875
7687,2069.3064,1511.5625
1278,1917.504,2592.8125
2658,3672.5528,2078.1875
6288,958.752,1602.0625
704,2756.412,2471.1875
8262,3271.7412,2021.9375
8176,809.6128,1656.9375
3207,2606.607,1458.6875
295,925.462,1525.6875
6395,2871.5954,2393.9375
2747,261.6594,1466.9375
3896,622.523,135.1875
2921,2093.2752,2764.8125
4096,1263.0226,2906.0625
6889,952.094,1636.3125
4097,1445.4518,1790.6875
572,2770.3938,2422.1875
3121,3415.554,2860.1875
4848,3146.5708,2933.9375
5422,4604.6728,2816.1875
3874,2450.144,2028.4375
6859,3163.8816,4595.1875
6174,922.7988,703.1875
837,5063.409,3242.9375
7943,934.7832,1933.9375
1829,122.5072,104.5625
1255,1541.9928,3780.9375
3570,1298.31,2178.5625
224,2406.867,2404.0625
